编号,价格,是否合租,面积,楼层,小区,区域,户型(室),户型(厅),户型(卫),地铁(号线),到地铁的距离
1,1210,合,5,8,骏景花园1,车陂南,4,1,1,4,900
2,1670,合,10,3,富力天朗明居S区,车陂,3,1,1,4,350
3,1210,合,9,3,盈彩美居碧彩轩,三溪,4,1,1,5,1150
4,1250,合,10,18,盈彩美居碧彩轩,三溪,4,1,1,5,1150
5,1880,合,14,10,骏景花园1,车陂南,4,1,1,4,900
6,1430,合,12,6,盈彩美居,三溪,3,1,1,5,1150
7,1300,合,12,6,盈彩美居,三溪,5,1,1,5,1150
8,1840,合,13,20,暨南花园,岗顶,4,1,1,3,650
9,1790,合,9,8,时尚明苑,车陂,4,1,1,4,100
10,1260,合,10,13,荷塘月色星悦居,白云文化广场,4,1,1,12,600
11,1580,合,10,9,美林海岸花园临江湾,科韵路,6,1,2,5,850
12,1320,合,10,2,盈彩美居,三溪,3,1,1,5,1150
13,1280,合,12,13,荷塘月色星悦居,白云文化广场,4,1,1,12,600
14,1420,合,14,25,景安花园,三溪,5,1,1,5,1650
15,1560,合,13,8,东圃法院宿舍小区,东圃,4,1,1,5,700
16,1480,合,9,12,骏景花园1,车陂南,4,1,1,4,900
17,1490,合,13,6,天韵阁,科韵路,3,1,1,5,400
18,1490,合,13,11,荷塘月色星怡居,白云文化广场,3,1,1,12,650
19,1430,合,12,12,智景花苑,车陂,4,1,1,4,500
20,1570,合,30,7,景安花园,三溪,5,1,1,5,1650
21,1800,合,13,7,华景路暨大教工宿舍,华景路,3,1,1,11,100
22,1650,合,10,11,金碧花园第三金碧,石溪,4,1,1,-1,300
23,1710,合,15,6,东方明珠花苑,白云文化广场,4,1,1,2,550
24,1100,合,7,14,智景花苑,车陂,4,1,1,4,500
25,1720,合,16,13,兰亭盛荟,东圃,4,1,1,5,650
26,1620,合,14,7,华景新城芳满庭园,华景路,4,1,1,11,900
27,1600,合,7,5,兰亭上东,潭村,3,1,1,5,750
28,1670,合,14,10,罗马家园,沥滘,5,1,1,3,600
29,1740,合,10,4,远洋宿舍,体育西路,4,1,1,1,500
30,1720,合,10,5,广州体育学院,林和西,4,1,1,3,550
31,1730,合,9,19,美林海岸花园,科韵路,6,1,2,5,650
32,1160,合,7,17,盈彩美居云彩轩,三溪,4,1,1,5,1000
33,1500,合,12,2,淘金路小区,淘金,3,1,1,5,500
34,1270,合,6,11,骏景花园1,车陂南,5,1,1,4,900
35,1330,合,8,4,美林湖畔花园,三溪,4,1,1,5,550
36,1800,合,10,9,顺华名庭,中大,3,1,1,8,600
37,1930,合,11,23,琶洲安置新社区,赤岗,4,1,1,8,700
38,1750,合,13,11,逸景翠园,鹭江,4,1,1,8,1350
39,1770,合,12,19,金碧花园第二金碧,石溪,4,1,1,-1,300
40,1590,合,14,5,南洲名苑,南洲,4,1,1,2,350
41,1540,合,8,6,麓景东大院,小北,4,1,1,5,600
42,1270,合,10,16,东尚明苑,黄村（广州）,4,1,1,4,850
43,1490,合,11,13,华景新城逸悦居,华景路,4,1,1,11,800
44,1450,合,8,16,富力天朗明居S区,车陂,3,1,1,4,350
45,1510,合,7,23,翠湖山庄,天河公园,4,1,1,21,1000
46,1840,合,13,26,华景新城逸悦居,华景路,4,1,1,11,800
47,1720,合,23,24,汇和大厦,江夏,5,1,1,2,250
48,1630,合,22,10,春江花园,棠东,4,1,1,4,650
49,1620,合,12,11,光大花园榕岸,沙园,5,1,1,8,550
50,1130,合,8,4,迎海花园,黄村（广州）,4,1,1,4,900
51,1400,合,8,2,美林海岸花园水晶轩,员村,3,1,1,5,850
52,1510,合,8,27,富景花园,中大,4,1,1,8,350
53,1380,合,11,5,华景新城胜景楼,华景路,4,1,1,11,400
54,1350,合,9,3,棠雅苑,天河公园,4,1,1,21,1250
55,1570,合,11,9,海印南苑三期,晓港,4,1,1,8,1050
56,1620,合,19,4,保利花园镜湖西街,燕岗,3,1,1,11,400
57,1940,合,11,19,博雅轩,广州东站,3,1,1,1,700
58,1560,合,12,4,新港西远洋宿舍,中大,3,1,1,8,600
59,1490,合,11,2,华景新城沁馥佳苑,华景路,4,1,1,11,400
60,1840,合,13,30,富基广场,市二宫,4,1,1,2,350
61,1520,合,9,4,嘉仕花园,中大,3,1,1,8,950
62,1380,合,9,8,美林湖畔花园,三溪,4,1,1,5,550
63,1530,合,14,12,如意中心,洛溪,4,1,1,2,600
64,1370,合,11,1,东方明珠花苑,白云文化广场,5,2,2,2,550
65,1280,合,7,2,富力天朗明居N区,棠东,4,1,1,4,450
66,1320,合,8,7,车陂检察院宿舍,车陂,4,1,1,4,500
67,1890,合,22,2,珠江熙苑,车陂,4,1,1,4,700
68,1910,合,9,11,蓝色康园,鹭江,4,1,1,8,950
69,1440,合,6,9,时尚明苑,车陂,4,1,1,4,100
70,1570,合,17,8,盈彩美居,三溪,3,1,1,5,1150
71,1630,合,14,8,新燕花园D区,燕塘,4,1,1,3,350
72,1780,合,17,4,金富苑,华师,4,1,1,3,450
73,2060,合,10,2,龙口小区,岗顶,4,1,1,3,200
74,1250,合,12,16,东尚明苑,黄村（广州）,8,1,2,4,850
75,1400,合,14,3,天河广场,车陂,4,1,1,4,800
76,1830,合,14,5,金碧花园第一金碧,石溪,4,1,1,-1,400
77,1930,合,13,7,佳信花园会展星城,赤岗,4,1,1,8,550
78,1240,合,17,6,景观苑,飞翔公园,4,1,1,2,800
79,1700,合,10,7,嘉仕花园名仕阁,中大,3,1,1,8,950
80,1480,合,16,6,旭景家园D区,黄村（广州）,4,1,1,4,1000
81,1250,合,11,6,云华楼,梅花园,3,1,1,3,800
82,1260,合,10,6,云和花园,同和,4,1,1,3,500
83,1200,合,7,3,旭景家园A区,黄村（广州）,3,1,1,4,800
84,1090,合,11,3,大沙地西路5号大院,大沙地,4,1,1,5,100
85,1750,合,20,3,雅怡阁,车陂,4,1,1,4,900
86,1720,合,10,4,远洋宿舍,体育西路,4,1,1,1,500
87,1610,合,10,10,兰亭颖园,市二宫,3,1,1,2,300
88,1790,合,17,6,叠彩园金桦轩,鹭江,4,1,1,8,1050
89,1640,合,15,8,心江南,石溪,4,1,1,-1,800
90,1530,合,10,5,光大花园榕景四季,沙园,4,1,1,8,500
91,1510,合,13,4,五星阁,燕塘,4,1,1,3,650
92,1980,合,14,5,大家庭花园,琶洲,3,1,1,8,350
93,1920,合,15,3,大家庭花园,琶洲,4,1,1,8,350
94,1540,合,13,7,五仙花园,天平架,3,1,1,6,850
95,1420,合,12,3,滨江中路328号,市二宫,4,1,1,2,700
96,1790,合,18,9,骏景花园1,车陂南,3,1,1,4,900
97,1620,合,11,5,英联大厦,江南西,3,1,1,2,100
98,1190,合,6,13,半山雍景苑,五山,4,1,1,3,1600
99,1520,合,10,6,金碧花园第三金碧,石溪,4,1,1,-1,300
100,1310,合,9,10,天河广场,车陂,4,1,1,4,800
101,1610,合,15,9,时代花园,飞翔公园,4,1,1,2,1200
102,1190,合,9,4,富力新村,车陂,4,1,1,4,1000
103,2240,合,9,17,星汇雅苑,潭村,3,1,1,5,500
104,1760,合,12,3,南兴花园楼梯区,天河客运站,3,1,1,3,950
105,1690,合,12,5,海富花园B区,江泰路,4,1,1,2,250
106,1610,合,12,12,金碧都市广场,石溪,4,1,1,-1,50
107,1490,合,11,1,金坤花园,燕塘,4,1,1,3,800
108,1960,合,12,3,远东大厦,林和西,3,1,1,3,700
109,1760,合,13,21,远锋大厦,凤凰新村,4,1,1,8,350
110,1630,合,8,5,淘金路小区,淘金,4,1,1,5,500
111,1570,合,16,7,今日丽舍,大石,4,1,1,3,750
112,1470,合,9,8,时代新世界中心,天平架,4,1,1,6,700
113,1140,合,8,2,龙怡苑,黄村（广州）,4,1,1,4,1300
